[2019-08-04 23:16:16,653] INFO tickTime set to 3000 (org.apache.zookeeper.server.ZooKeeperServer)
[2019-08-04 23:16:16,653] INFO minSessionTimeout set to -1 (org.apache.zookeeper.server.ZooKeeperServer)
[2019-08-04 23:16:16,653] INFO maxSessionTimeout set to -1 (org.apache.zookeeper.server.ZooKeeperServer)
[2019-08-04 23:16:16,665] INFO Using org.apache.zookeeper.server.NIOServerCnxnFactory as server connection factory (org.apache.zookeeper.server.ServerCnxnFactory)
[2019-08-04 23:16:16,672] INFO binding to port 0.0.0.0/0.0.0.0:2181 (org.apache.zookeeper.server.NIOServerCnxnFactory)
[2019-08-04 23:16:17,235] INFO Accepted socket connection from /127.0.0.1:63358 (org.apache.zookeeper.server.NIOServerCnxnFactory)
[2019-08-04 23:16:17,240] INFO Client attempting to renew session 0x100001cbfd90002 at /127.0.0.1:63358 (org.apache.zookeeper.server.ZooKeeperServer)
[2019-08-04 23:16:17,243] INFO Established session 0x100001cbfd90002 with negotiated timeout 6000 for client /127.0.0.1:63358 (org.apache.zookeeper.server.ZooKeeperServer)
[2019-08-04 23:16:17,246] INFO Creating new log file: log.2b24 (org.apache.zookeeper.server.persistence.FileTxnLog)
[2019-08-04 23:16:28,288] INFO Processed session termination for sessionid: 0x100001cbfd90002 (org.apache.zookeeper.server.PrepRequestProcessor)
[2019-08-04 23:16:28,296] INFO Closed socket connection for client /127.0.0.1:63358 which had sessionid 0x100001cbfd90002 (org.apache.zookeeper.server.NIOServerCnxn)
[2019-08-04 23:17:50,407] INFO Registered kafka:type=kafka.Log4jController MBean (kafka.utils.Log4jControllerRegistration$)
